21.0285,105.8542
10.8231,106.6297
16.0471,108.2068
20.8449,106.6881
10.0452,105.7469
10.5208,105.1259
10.5417,107.2429
21.2739,106.1947
22.1474,105.8348
9.2949,105.7243
21.1821,106.0385
10.2334,106.3758
11.3254,106.3636
13.7827,109.2192
11.7028,106.888
10.9804,108.2615
9.1762,105.1524
22.6653,106.2579
12.6662,108.0383
12.0058,107.6928
21.386,103.0164
10.9473,106.7359
10.5369,105.648
13.9735,108.0151
22.8233,104.9836
20.5835,105.92299
18.3352,105.9039
20.9351,106.3183
9.7848,105.4701
20.8232,105.3387
20.646,106.0511
12.2388,109.1967
10.0159,105.0809
14.3545,108.0076
22.4014,103.4698
11.9416,108.4583
21.8526,106.7615
22.4856,103.9705
10.5352,106.4122
20.4275,106.177
18.673,105.6924
20.2509,105.9744
11.5679,108.9886
21.3226,105.401
13.0884,109.0929
17.6103,106.3487
15.8794,108.335
15.1205,108.7924
20.9511,107.0802
16.75,107.1962
9.6032,105.9801
21.3285,103.9144
11.3102,106.0986
20.4489,106.3423
21.5942,105.848
19.8067,105.7762
16.4498,107.5623
10.4493,106.3439
9.9478,106.3459
21.8238,105.2188
10.2369,105.9572
21.3088,105.6044
21.7167,104.8984
