location_id,time_id,weather_code_id,temperature_2m_max,temperature_2m_min,daylight_duration,sunshine_duration,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant
0,202206500,63,25.8,18.6,42596.62,0.0,11.2,11.2,0,17,28.3,52.2,100
0,202206600,63,25.3,13.5,42668.47,26367.82,4.1,4.1,0,3,19.0,37.8,21
0,202206700,3,24.5,14.9,42740.71,37839.23,0.0,0.0,0,0,18.1,32.4,129
0,202206800,51,23.1,16.3,42813.3,308.64,0.2,0.2,0,2,16.6,29.5,128
0,202206900,51,23.2,18.5,42886.18,0.0,0.1,0.1,0,1,15.2,28.4,125
0,202207000,3,25.1,18.5,42959.29,5501.72,0.0,0.0,0,0,13.5,25.6,141
0,202207100,51,25.8,19.4,43032.61,1742.74,0.1,0.1,0,1,16.3,31.0,142
0,202207200,51,25.1,19.2,43106.05,3178.06,0.5,0.5,0,4,16.4,30.6,143
0,202207300,51,25.5,20.2,43179.6,31.75,0.3,0.3,0,3,15.3,28.8,131
0,202207400,51,27.2,21.0,43253.18,14356.76,0.5,0.5,0,4,12.1,21.2,145
0,202207500,63,25.7,20.6,43326.75,5098.5,12.6,12.6,0,4,21.3,37.4,152
0,202207600,51,28.5,21.3,43400.27,14946.19,0.3,0.3,0,3,15.0,26.3,133
0,202207700,3,28.3,21.5,43473.67,15747.58,0.0,0.0,0,0,13.4,25.2,140
0,202207800,51,27.2,21.7,43546.92,6865.8,0.6,0.6,0,6,16.8,29.9,141
0,202207900,51,30.2,22.4,43619.96,20932.75,0.2,0.2,0,2,21.0,39.2,143
0,202208000,51,30.5,23.1,43692.73,16402.3,0.6,0.6,0,4,19.7,37.8,148
0,202208100,65,31.6,16.9,43765.2,30997.64,38.3,38.3,0,16,21.7,39.6,77
0,202208200,63,18.4,16.1,43837.3,0.0,8.2,8.2,0,15,24.0,42.8,31
0,202208300,51,23.6,16.3,43909.09,0.0,0.2,0.2,0,2,16.3,30.2,135
0,202208400,3,30.2,19.0,43981.07,36310.64,0.0,0.0,0,0,16.4,28.1,145
0,202208500,51,31.6,20.4,44053.28,29563.84,0.2,0.2,0,2,23.6,41.4,67
0,202208600,63,22.3,17.6,44125.69,0.0,7.6,7.6,0,7,22.2,41.8,27
0,202208700,3,23.7,16.5,44198.23,27393.12,0.0,0.0,0,0,12.0,24.8,121
0,202208800,53,23.5,17.9,44270.88,2973.05,1.0,1.0,0,3,11.1,20.5,114
0,202208900,53,25.7,20.6,44343.58,0.0,1.2,1.2,0,7,14.8,25.9,109
0,202209000,61,28.5,20.1,44416.28,9750.46,7.3,7.3,0,13,25.9,45.4,32
0,202209100,61,20.4,16.6,44488.93,0.0,6.2,6.2,0,12,21.8,41.0,5
0,202209200,3,19.8,12.7,44561.5,3059.52,0.0,0.0,0,0,27.7,50.4,17
0,202209300,1,23.3,13.0,44633.92,40216.39,0.0,0.0,0,0,13.8,28.1,50
0,202209400,3,25.0,14.6,44706.15,40072.7,0.0,0.0,0,0,15.3,28.4,120
0,202209500,1,25.6,15.1,44778.15,40220.0,0.0,0.0,0,0,11.5,19.4,32
0,202209600,2,28.5,17.3,44849.86,36174.79,0.0,0.0,0,0,8.1,20.2,355
0,202209700,2,29.5,16.4,44921.23,38258.46,0.0,0.0,0,0,15.3,28.1,55
0,202209800,0,28.7,17.3,44992.21,41858.23,0.0,0.0,0,0,13.6,23.0,139
0,202209900,3,28.4,18.3,45062.75,41422.57,0.0,0.0,0,0,17.6,32.4,130
0,202210000,3,28.2,19.7,45132.8,35131.64,0.0,0.0,0,0,17.2,29.9,150
0,202210100,51,27.5,21.0,45202.3,3815.82,0.3,0.3,0,3,14.8,25.9,145
0,202210200,51,29.3,21.6,45271.2,13544.16,0.7,0.7,0,5,19.1,35.3,139
0,202210300,3,30.7,21.6,45339.53,35826.89,0.0,0.0,0,0,14.0,24.1,119
0,202210400,51,30.2,22.6,45407.79,30200.8,0.7,0.7,0,3,17.3,33.5,136
0,202210500,51,28.3,23.8,45476.01,0.0,2.3,2.3,0,11,20.8,39.2,138
