time_id,day,year,month,date,hour
201800817,0,2018,1,8,17
201800818,0,2018,1,8,18
201800819,0,2018,1,8,19
201800820,0,2018,1,8,20
201800821,0,2018,1,8,21
201800822,0,2018,1,8,22
201800823,0,2018,1,8,23
201800900,1,2018,1,9,0
201800901,1,2018,1,9,1
201800902,1,2018,1,9,2
201800903,1,2018,1,9,3
201800904,1,2018,1,9,4
201800905,1,2018,1,9,5
201800906,1,2018,1,9,6
201800907,1,2018,1,9,7
201800908,1,2018,1,9,8
201800909,1,2018,1,9,9
201800910,1,2018,1,9,10
201800911,1,2018,1,9,11
201800912,1,2018,1,9,12
201800913,1,2018,1,9,13
201800914,1,2018,1,9,14
201800915,1,2018,1,9,15
201800916,1,2018,1,9,16
201800917,1,2018,1,9,17
201800918,1,2018,1,9,18
201800919,1,2018,1,9,19
201800920,1,2018,1,9,20
201800921,1,2018,1,9,21
201800922,1,2018,1,9,22
201800923,1,2018,1,9,23
201801000,2,2018,1,10,0
201801001,2,2018,1,10,1
201801002,2,2018,1,10,2
201801003,2,2018,1,10,3
201801004,2,2018,1,10,4
201801005,2,2018,1,10,5
201801006,2,2018,1,10,6
201801007,2,2018,1,10,7
201801008,2,2018,1,10,8
201801009,2,2018,1,10,9
201801010,2,2018,1,10,10
201801011,2,2018,1,10,11
201801012,2,2018,1,10,12
201801013,2,2018,1,10,13
201801014,2,2018,1,10,14
201801015,2,2018,1,10,15
201801016,2,2018,1,10,16
201801017,2,2018,1,10,17
201801018,2,2018,1,10,18
201801019,2,2018,1,10,19
201801020,2,2018,1,10,20
201801021,2,2018,1,10,21
201801022,2,2018,1,10,22
201801023,2,2018,1,10,23
201801100,3,2018,1,11,0
201801101,3,2018,1,11,1
201801102,3,2018,1,11,2
201801103,3,2018,1,11,3
201801104,3,2018,1,11,4
201801105,3,2018,1,11,5
201801106,3,2018,1,11,6
201801107,3,2018,1,11,7
201801108,3,2018,1,11,8
201801109,3,2018,1,11,9
201801110,3,2018,1,11,10
201801111,3,2018,1,11,11
201801112,3,2018,1,11,12
201801113,3,2018,1,11,13
201801114,3,2018,1,11,14
201801115,3,2018,1,11,15
201801116,3,2018,1,11,16
201801117,3,2018,1,11,17
201801118,3,2018,1,11,18
201801119,3,2018,1,11,19
201801120,3,2018,1,11,20
201801121,3,2018,1,11,21
201801122,3,2018,1,11,22
201801123,3,2018,1,11,23
201801200,4,2018,1,12,0
201801201,4,2018,1,12,1
201801202,4,2018,1,12,2
201801203,4,2018,1,12,3
201801204,4,2018,1,12,4
201801205,4,2018,1,12,5
201801206,4,2018,1,12,6
201801207,4,2018,1,12,7
201801208,4,2018,1,12,8
201801209,4,2018,1,12,9
201801210,4,2018,1,12,10
201801211,4,2018,1,12,11
201801212,4,2018,1,12,12
201801213,4,2018,1,12,13
201801214,4,2018,1,12,14
201801215,4,2018,1,12,15
201801216,4,2018,1,12,16
201801217,4,2018,1,12,17
201801218,4,2018,1,12,18
201801219,4,2018,1,12,19
201801220,4,2018,1,12,20
201801221,4,2018,1,12,21
201801222,4,2018,1,12,22
201801223,4,2018,1,12,23
201801300,5,2018,1,13,0
201801301,5,2018,1,13,1
201801302,5,2018,1,13,2
201801303,5,2018,1,13,3
201801304,5,2018,1,13,4
201801305,5,2018,1,13,5
201801306,5,2018,1,13,6
201801307,5,2018,1,13,7
201801308,5,2018,1,13,8
201801309,5,2018,1,13,9
201801310,5,2018,1,13,10
201801311,5,2018,1,13,11
201801312,5,2018,1,13,12
201801313,5,2018,1,13,13
201801314,5,2018,1,13,14
201801315,5,2018,1,13,15
201801316,5,2018,1,13,16
201801317,5,2018,1,13,17
201801318,5,2018,1,13,18
201801319,5,2018,1,13,19
201801320,5,2018,1,13,20
201801321,5,2018,1,13,21
201801322,5,2018,1,13,22
201801323,5,2018,1,13,23
201801400,6,2018,1,14,0
201801401,6,2018,1,14,1
201801402,6,2018,1,14,2
201801403,6,2018,1,14,3
201801404,6,2018,1,14,4
201801405,6,2018,1,14,5
201801406,6,2018,1,14,6
201801407,6,2018,1,14,7
201801408,6,2018,1,14,8
201801409,6,2018,1,14,9
201801410,6,2018,1,14,10
201801411,6,2018,1,14,11
201801412,6,2018,1,14,12
201801413,6,2018,1,14,13
201801414,6,2018,1,14,14
201801415,6,2018,1,14,15
201801416,6,2018,1,14,16
201801417,6,2018,1,14,17
201801418,6,2018,1,14,18
201801419,6,2018,1,14,19
201801420,6,2018,1,14,20
201801421,6,2018,1,14,21
201801422,6,2018,1,14,22
201801423,6,2018,1,14,23
201801500,0,2018,1,15,0
201801501,0,2018,1,15,1
201801502,0,2018,1,15,2
201801503,0,2018,1,15,3
201801504,0,2018,1,15,4
201801505,0,2018,1,15,5
201801506,0,2018,1,15,6
201801507,0,2018,1,15,7
201801508,0,2018,1,15,8
201801509,0,2018,1,15,9
201801510,0,2018,1,15,10
201801511,0,2018,1,15,11
201801512,0,2018,1,15,12
201801513,0,2018,1,15,13
201801514,0,2018,1,15,14
201801515,0,2018,1,15,15
201801516,0,2018,1,15,16
201801517,0,2018,1,15,17
201801518,0,2018,1,15,18
201801519,0,2018,1,15,19
201801520,0,2018,1,15,20
201801521,0,2018,1,15,21
201801522,0,2018,1,15,22
201801523,0,2018,1,15,23
201801600,1,2018,1,16,0
201801601,1,2018,1,16,1
201801602,1,2018,1,16,2
201801603,1,2018,1,16,3
201801604,1,2018,1,16,4
201801605,1,2018,1,16,5
201801606,1,2018,1,16,6
201801607,1,2018,1,16,7
201801608,1,2018,1,16,8
201801609,1,2018,1,16,9
201801610,1,2018,1,16,10
201801611,1,2018,1,16,11
201801612,1,2018,1,16,12
201801613,1,2018,1,16,13
201801614,1,2018,1,16,14
201801615,1,2018,1,16,15
201801616,1,2018,1,16,16
201801617,1,2018,1,16,17
201801618,1,2018,1,16,18
201801619,1,2018,1,16,19
201801620,1,2018,1,16,20
201801621,1,2018,1,16,21
201801622,1,2018,1,16,22
201801623,1,2018,1,16,23
201801700,2,2018,1,17,0
201801701,2,2018,1,17,1
201801702,2,2018,1,17,2
201801703,2,2018,1,17,3
201801704,2,2018,1,17,4
201801705,2,2018,1,17,5
201801706,2,2018,1,17,6
201801707,2,2018,1,17,7
201801708,2,2018,1,17,8
201801709,2,2018,1,17,9
201801710,2,2018,1,17,10
201801711,2,2018,1,17,11
201801712,2,2018,1,17,12
201801713,2,2018,1,17,13
201801714,2,2018,1,17,14
201801715,2,2018,1,17,15
201801716,2,2018,1,17,16
201801717,2,2018,1,17,17
201801718,2,2018,1,17,18
201801719,2,2018,1,17,19
201801720,2,2018,1,17,20
201801721,2,2018,1,17,21
201801722,2,2018,1,17,22
201801723,2,2018,1,17,23
201801800,3,2018,1,18,0
201801801,3,2018,1,18,1
201801802,3,2018,1,18,2
201801803,3,2018,1,18,3
201801804,3,2018,1,18,4
201801805,3,2018,1,18,5
201801806,3,2018,1,18,6
201801807,3,2018,1,18,7
201801808,3,2018,1,18,8
201801809,3,2018,1,18,9
201801810,3,2018,1,18,10
201801811,3,2018,1,18,11
201801812,3,2018,1,18,12
201801813,3,2018,1,18,13
201801814,3,2018,1,18,14
201801815,3,2018,1,18,15
201801816,3,2018,1,18,16
201801817,3,2018,1,18,17
201801818,3,2018,1,18,18
201801819,3,2018,1,18,19
201801820,3,2018,1,18,20
201801821,3,2018,1,18,21
201801822,3,2018,1,18,22
201801823,3,2018,1,18,23
201801900,4,2018,1,19,0
201801901,4,2018,1,19,1
201801902,4,2018,1,19,2
201801903,4,2018,1,19,3
201801904,4,2018,1,19,4
201801905,4,2018,1,19,5
201801906,4,2018,1,19,6
201801907,4,2018,1,19,7
201801908,4,2018,1,19,8
201801909,4,2018,1,19,9
201801910,4,2018,1,19,10
201801911,4,2018,1,19,11
201801912,4,2018,1,19,12
201801913,4,2018,1,19,13
201801914,4,2018,1,19,14
201801915,4,2018,1,19,15
201801916,4,2018,1,19,16
201801917,4,2018,1,19,17
201801918,4,2018,1,19,18
201801919,4,2018,1,19,19
201801920,4,2018,1,19,20
201801921,4,2018,1,19,21
201801922,4,2018,1,19,22
201801923,4,2018,1,19,23
201802000,5,2018,1,20,0
201802001,5,2018,1,20,1
201802002,5,2018,1,20,2
201802003,5,2018,1,20,3
201802004,5,2018,1,20,4
201802005,5,2018,1,20,5
201802006,5,2018,1,20,6
201802007,5,2018,1,20,7
201802008,5,2018,1,20,8
201802009,5,2018,1,20,9
201802010,5,2018,1,20,10
201802011,5,2018,1,20,11
201802012,5,2018,1,20,12
201802013,5,2018,1,20,13
201802014,5,2018,1,20,14
201802015,5,2018,1,20,15
201802016,5,2018,1,20,16
201802017,5,2018,1,20,17
201802018,5,2018,1,20,18
201802019,5,2018,1,20,19
201802020,5,2018,1,20,20
201802021,5,2018,1,20,21
201802022,5,2018,1,20,22
201802023,5,2018,1,20,23
201802100,6,2018,1,21,0
201802101,6,2018,1,21,1
201802102,6,2018,1,21,2
201802103,6,2018,1,21,3
201802104,6,2018,1,21,4
201802105,6,2018,1,21,5
201802106,6,2018,1,21,6
201802107,6,2018,1,21,7
201802108,6,2018,1,21,8
201802109,6,2018,1,21,9
201802110,6,2018,1,21,10
201802111,6,2018,1,21,11
